presolving:
(round 1, fast)       8795 del vars, 10500 del conss, 0 add conss, 6995 chg bounds, 4091 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 101, fast)       50968 del vars, 10644 del conss, 0 add conss, 43841 chg bounds, 4170 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 102, fast)       51172 del vars, 10645 del conss, 0 add conss, 44045 chg bounds, 4172 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 103, fast)       51382 del vars, 10646 del conss, 0 add conss, 44253 chg bounds, 4172 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 104, fast)       51563 del vars, 10647 del conss, 0 add conss, 44434 chg bounds, 4173 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 105, fast)       51764 del vars, 10648 del conss, 0 add conss, 44634 chg bounds, 4175 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 106, fast)       52164 del vars, 10650 del conss, 0 add conss, 45033 chg bounds, 4175 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 107, fast)       52371 del vars, 10651 del conss, 0 add conss, 45240 chg bounds, 4176 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 108, fast)       52573 del vars, 10652 del conss, 0 add conss, 45442 chg bounds, 4176 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 109, fast)       52766 del vars, 10653 del conss, 0 add conss, 45635 chg bounds, 4178 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 110, fast)       53154 del vars, 10655 del conss, 0 add conss, 46021 chg bounds, 4178 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 111, fast)       53367 del vars, 10656 del conss, 0 add conss, 46234 chg bounds, 4179 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 112, fast)       53566 del vars, 10657 del conss, 0 add conss, 46432 chg bounds, 4180 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 113, fast)       53758 del vars, 10658 del conss, 0 add conss, 46623 chg bounds, 4180 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 114, fast)       53947 del vars, 10659 del conss, 0 add conss, 46812 chg bounds, 4181 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 115, fast)       54128 del vars, 10660 del conss, 0 add conss, 46992 chg bounds, 4182 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 116, fast)       54314 del vars, 10661 del conss, 0 add conss, 47177 chg bounds, 4182 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 117, fast)       54501 del vars, 10662 del conss, 0 add conss, 47364 chg bounds, 4183 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 118, fast)       54873 del vars, 10664 del conss, 0 add conss, 47735 chg bounds, 4183 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 119, fast)       55051 del vars, 10665 del conss, 0 add conss, 47913 chg bounds, 4185 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 120, fast)       55426 del vars, 10667 del conss, 0 add conss, 48286 chg bounds, 4185 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 121, fast)       55792 del vars, 10669 del conss, 0 add conss, 48652 chg bounds, 4186 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 122, fast)       56165 del vars, 10671 del conss, 0 add conss, 49025 chg bounds, 4187 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 123, fast)       56694 del vars, 10674 del conss, 0 add conss, 49554 chg bounds, 4189 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 124, fast)       57040 del vars, 10676 del conss, 0 add conss, 49899 chg bounds, 4190 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 125, fast)       57208 del vars, 10677 del conss, 0 add conss, 50066 chg bounds, 4191 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 126, fast)       57395 del vars, 10678 del conss, 0 add conss, 50252 chg bounds, 4192 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 127, fast)       57567 del vars, 10679 del conss, 0 add conss, 50423 chg bounds, 4192 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 128, fast)       57739 del vars, 10680 del conss, 0 add conss, 50595 chg bounds, 4193 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 129, fast)       57923 del vars, 10681 del conss, 0 add conss, 50778 chg bounds, 4194 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 130, fast)       58091 del vars, 10682 del conss, 0 add conss, 50946 chg bounds, 4195 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 131, fast)       58273 del vars, 10683 del conss, 0 add conss, 51127 chg bounds, 4196 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 132, fast)       58456 del vars, 10684 del conss, 0 add conss, 51310 chg bounds, 4197 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 133, fast)       58628 del vars, 10685 del conss, 0 add conss, 51481 chg bounds, 4199 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 134, fast)       58792 del vars, 10686 del conss, 0 add conss, 51643 chg bounds, 4200 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 135, fast)       58961 del vars, 10687 del conss, 0 add conss, 51811 chg bounds, 4200 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 136, fast)       59138 del vars, 10688 del conss, 0 add conss, 51988 chg bounds, 4200 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 137, fast)       59297 del vars, 10689 del conss, 0 add conss, 52147 chg bounds, 4201 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 138, fast)       59465 del vars, 10690 del conss, 0 add conss, 52314 chg bounds, 4202 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 139, fast)       59646 del vars, 10691 del conss, 0 add conss, 52494 chg bounds, 4205 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 140, fast)       60147 del vars, 10694 del conss, 0 add conss, 52993 chg bounds, 4205 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 141, fast)       60472 del vars, 10696 del conss, 0 add conss, 53318 chg bounds, 4206 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 142, fast)       60642 del vars, 10697 del conss, 0 add conss, 53487 chg bounds, 4208 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 143, fast)       60969 del vars, 10699 del conss, 0 add conss, 53812 chg bounds, 4208 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 144, fast)       61280 del vars, 10701 del conss, 0 add conss, 54123 chg bounds, 4208 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 145, fast)       61602 del vars, 10703 del conss, 0 add conss, 54445 chg bounds, 4209 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 146, fast)       61756 del vars, 10704 del conss, 0 add conss, 54598 chg bounds, 4211 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 147, fast)       62060 del vars, 10706 del conss, 0 add conss, 54901 chg bounds, 4211 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 148, fast)       62216 del vars, 10707 del conss, 0 add conss, 55057 chg bounds, 4212 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 149, fast)       62520 del vars, 10709 del conss, 0 add conss, 55360 chg bounds, 4212 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 150, fast)       62833 del vars, 10711 del conss, 0 add conss, 55673 chg bounds, 4212 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 151, fast)       62983 del vars, 10712 del conss, 0 add conss, 55823 chg bounds, 4213 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 152, fast)       63135 del vars, 10713 del conss, 0 add conss, 55974 chg bounds, 4213 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 153, fast)       63284 del vars, 10714 del conss, 0 add conss, 56123 chg bounds, 4214 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 154, fast)       63436 del vars, 10715 del conss, 0 add conss, 56274 chg bounds, 4215 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 155, fast)       63586 del vars, 10716 del conss, 0 add conss, 56424 chg bounds, 4217 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 156, fast)       63743 del vars, 10717 del conss, 0 add conss, 56579 chg bounds, 4218 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 157, fast)       63882 del vars, 10718 del conss, 0 add conss, 56717 chg bounds, 4219 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 158, fast)       64173 del vars, 10720 del conss, 0 add conss, 57007 chg bounds, 4219 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 159, fast)       64453 del vars, 10722 del conss, 0 add conss, 57287 chg bounds, 4219 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 160, fast)       64593 del vars, 10723 del conss, 0 add conss, 57427 chg bounds, 4219 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 161, fast)       64742 del vars, 10724 del conss, 0 add conss, 57576 chg bounds, 4219 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 162, fast)       64894 del vars, 10725 del conss, 0 add conss, 57728 chg bounds, 4221 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 163, fast)       65030 del vars, 10726 del conss, 0 add conss, 57862 chg bounds, 4222 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 164, fast)       65172 del vars, 10727 del conss, 0 add conss, 58003 chg bounds, 4222 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 165, fast)       65462 del vars, 10729 del conss, 0 add conss, 58293 chg bounds, 4222 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 166, fast)       65606 del vars, 10730 del conss, 0 add conss, 58437 chg bounds, 4224 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
(round 167, fast)       65744 del vars, 10731 del conss, 0 add conss, 58573 chg bounds, 4225 chg sides, 342 chg coeffs, 0 upgd conss, 0 impls, 2212 clqs
