presolving:
(round 1, fast)       1435473 del vars, 5727 del conss, 0 add conss, 2406 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 85, fast)       1435474 del vars, 5727 del conss, 0 add conss, 67874 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 86, fast)       1435474 del vars, 5727 del conss, 0 add conss, 68073 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 87, fast)       1435474 del vars, 5727 del conss, 0 add conss, 68267 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 88, fast)       1435474 del vars, 5727 del conss, 0 add conss, 68456 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 89, fast)       1435474 del vars, 5727 del conss, 0 add conss, 68640 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 90, fast)       1435474 del vars, 5727 del conss, 0 add conss, 68815 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 91, fast)       1435474 del vars, 5727 del conss, 0 add conss, 68985 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 92, fast)       1435474 del vars, 5727 del conss, 0 add conss, 69155 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 93, fast)       1435474 del vars, 5727 del conss, 0 add conss, 69325 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 94, fast)       1435474 del vars, 5727 del conss, 0 add conss, 69496 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 95, fast)       1435474 del vars, 5727 del conss, 0 add conss, 69665 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 96, fast)       1435474 del vars, 5727 del conss, 0 add conss, 69828 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 97, fast)       1435474 del vars, 5727 del conss, 0 add conss, 69985 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 98, fast)       1435474 del vars, 5727 del conss, 0 add conss, 70141 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 99, fast)       1435474 del vars, 5727 del conss, 0 add conss, 70293 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 100, fast)       1435474 del vars, 5727 del conss, 0 add conss, 70444 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 101, fast)       1435474 del vars, 5727 del conss, 0 add conss, 70596 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 102, fast)       1435474 del vars, 5727 del conss, 0 add conss, 70746 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 103, fast)       1435474 del vars, 5727 del conss, 0 add conss, 70893 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 104, fast)       1435474 del vars, 5727 del conss, 0 add conss, 71037 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 105, fast)       1435474 del vars, 5727 del conss, 0 add conss, 71179 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 106, fast)       1435474 del vars, 5727 del conss, 0 add conss, 71319 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 107, fast)       1435474 del vars, 5727 del conss, 0 add conss, 71459 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 108, fast)       1435474 del vars, 5727 del conss, 0 add conss, 71597 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 109, fast)       1435474 del vars, 5727 del conss, 0 add conss, 71735 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 110, fast)       1435474 del vars, 5727 del conss, 0 add conss, 71868 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 111, fast)       1435474 del vars, 5727 del conss, 0 add conss, 72001 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 112, fast)       1435474 del vars, 5727 del conss, 0 add conss, 72130 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 113, fast)       1435474 del vars, 5727 del conss, 0 add conss, 72258 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 114, fast)       1435474 del vars, 5727 del conss, 0 add conss, 72386 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 115, fast)       1435474 del vars, 5727 del conss, 0 add conss, 72511 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 116, fast)       1435474 del vars, 5727 del conss, 0 add conss, 72630 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 117, fast)       1435474 del vars, 5727 del conss, 0 add conss, 72748 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 118, fast)       1435474 del vars, 5727 del conss, 0 add conss, 72864 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 119, fast)       1435474 del vars, 5727 del conss, 0 add conss, 72979 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 120, fast)       1435474 del vars, 5727 del conss, 0 add conss, 73092 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 121, fast)       1435474 del vars, 5727 del conss, 0 add conss, 73204 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 122, fast)       1435474 del vars, 5727 del conss, 0 add conss, 73316 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 123, fast)       1435474 del vars, 5727 del conss, 0 add conss, 73427 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 124, fast)       1435474 del vars, 5727 del conss, 0 add conss, 73535 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 125, fast)       1435474 del vars, 5727 del conss, 0 add conss, 73640 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 126, fast)       1435474 del vars, 5727 del conss, 0 add conss, 73741 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 127, fast)       1435474 del vars, 5727 del conss, 0 add conss, 73841 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 128, fast)       1435474 del vars, 5727 del conss, 0 add conss, 73941 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 129, fast)       1435474 del vars, 5727 del conss, 0 add conss, 74038 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 130, fast)       1435474 del vars, 5727 del conss, 0 add conss, 74135 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 131, fast)       1435474 del vars, 5727 del conss, 0 add conss, 74230 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 132, fast)       1435474 del vars, 5727 del conss, 0 add conss, 74324 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 133, fast)       1435474 del vars, 5727 del conss, 0 add conss, 74418 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 134, fast)       1435474 del vars, 5727 del conss, 0 add conss, 74510 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 135, fast)       1435474 del vars, 5727 del conss, 0 add conss, 74601 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 136, fast)       1435474 del vars, 5727 del conss, 0 add conss, 74689 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 137, fast)       1435474 del vars, 5727 del conss, 0 add conss, 74772 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 138, fast)       1435474 del vars, 5727 del conss, 0 add conss, 74854 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 139, fast)       1435474 del vars, 5727 del conss, 0 add conss, 74937 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 140, fast)       1435474 del vars, 5727 del conss, 0 add conss, 75018 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 141, fast)       1435474 del vars, 5727 del conss, 0 add conss, 75098 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 142, fast)       1435474 del vars, 5727 del conss, 0 add conss, 75177 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 143, fast)       1435474 del vars, 5727 del conss, 0 add conss, 75255 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 144, fast)       1435474 del vars, 5727 del conss, 0 add conss, 75333 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 145, fast)       1435474 del vars, 5727 del conss, 0 add conss, 75411 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 146, fast)       1435474 del vars, 5727 del conss, 0 add conss, 75485 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 147, fast)       1435474 del vars, 5727 del conss, 0 add conss, 75559 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 148, fast)       1435474 del vars, 5727 del conss, 0 add conss, 75631 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 149, fast)       1435474 del vars, 5727 del conss, 0 add conss, 75703 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 150, fast)       1435474 del vars, 5727 del conss, 0 add conss, 75771 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 151, fast)       1435474 del vars, 5727 del conss, 0 add conss, 75833 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 152, fast)       1435474 del vars, 5727 del conss, 0 add conss, 75893 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 153, fast)       1435474 del vars, 5727 del conss, 0 add conss, 75954 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 154, fast)       1435474 del vars, 5727 del conss, 0 add conss, 76013 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 155, fast)       1435474 del vars, 5727 del conss, 0 add conss, 76072 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
   (4.0s) running MILP presolver
   (4.0s) MILP presolver (2 rounds): 0 aggregations, 0 fixings, 97 bound changes
(round 156, medium)     1435474 del vars, 5727 del conss, 0 add conss, 76224 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 157, exhaustive) 1435474 del vars, 5727 del conss, 0 add conss, 76330 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 158, exhaustive) 1435474 del vars, 5727 del conss, 0 add conss, 76430 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 159, exhaustive) 1435474 del vars, 5727 del conss, 0 add conss, 76525 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 160, exhaustive) 1435474 del vars, 5727 del conss, 0 add conss, 76610 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 161, exhaustive) 1435474 del vars, 5727 del conss, 0 add conss, 76695 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 162, exhaustive) 1435474 del vars, 5727 del conss, 0 add conss, 76777 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 163, exhaustive) 1435474 del vars, 5727 del conss, 0 add conss, 76857 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 164, exhaustive) 1435474 del vars, 5727 del conss, 0 add conss, 76937 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 165, exhaustive) 1435474 del vars, 5727 del conss, 0 add conss, 77017 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 166, exhaustive) 1435474 del vars, 5727 del conss, 0 add conss, 77094 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 167, exhaustive) 1435474 del vars, 5727 del conss, 0 add conss, 77165 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 168, exhaustive) 1435474 del vars, 5727 del conss, 0 add conss, 77232 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
