problem_class,question,answer
['Capacitated Facility Location Problem'],"BestWay Logistics is in the process of determining the best strategy to distribute products from its warehouses to four retail stores. The company has six potential distribution centers to choose from, each with its own costs associated with opening the center and transporting goods to the stores. Each center also has a specified maximum capacity it can handle. The aim is to satisfy the demand at each store at the lowest possible total cost, while taking into account the cost of opening the distribution centers and the transportation costs of the goods.

The details of the scenario are as follows:

Number of Potential Distribution Centers: 6
Number of Retail Stores Needing Supply: 4

Opening Costs for Each Distribution Center (in dollars):
- Center 1: 151,000
- Center 2: 192,000
- Center 3: 114,000
- Center 4: 171,000
- Center 5: 160,000
- Center 6: 120,000

Transportation Cost Per Unit from Each Distribution Center to Retail Stores (in dollars):
- From Center 1: $2 to Store 1, $3 to Store 2, $3 to Store 3, $3 to Store 4
- From Center 2: $5 to Store 1, $4 to Store 2, $3 to Store 3, $5 to Store 4
- From Center 3: $2 to Store 1, $4 to Store 2, $2 to Store 3, $4 to Store 4
- From Center 4: $5 to Store 1, $1 to Store 2, $4 to Store 3, $2 to Store 4
- From Center 5: $5 to Store 1, $4 to Store 2, $1 to Store 3, $1 to Store 4
- From Center 6: $3 to Store 1, $3 to Store 2, $2 to Store 3, $4 to Store 4

Demand of Each Retail Store (in units):
- Store 1: 589
- Store 2: 962
- Store 3: 966
- Store 4: 643

Supply Capacity of Each Distribution Center (in units):
- Center 1: 1631
- Center 2: 1954
- Center 3: 1446
- Center 4: 820
- Center 5: 1640
- Center 6: 966

Question:
What is the optimal total cost for BestWay Logistics to open the necessary distribution centers and transport goods to meet the demand of all retail stores? This cost should include both the opening costs of the centers and the transportation costs of supplying the stores. Please provide only the optimal value.",[316282.0]
['Diet Problem'],"Imagine you're a college student living off-campus with a tight budget, but you're committed to maintaining a healthy diet. You have identified a set of nine different food items available in your local supermarket. Each of these items provides specific amounts of protein, carbohydrates, and calories and has its own price. 

Here is the breakdown of what each food item provides along with its cost:

1. Chicken (Cost: $10): Gives you 7 grams of protein, 17 grams of carbohydrates, and 95 calories.
2. Tofu (Cost: $2): Provides 12 grams of protein, 12 grams of carbohydrates, and 233 calories.
3. Brown Rice (Cost: $7): Contains 14 grams of protein, 27 grams of carbohydrates, and 134 calories.
4. Fish (Cost: $8): Offers 9 grams of protein, 6 grams of carbohydrates, and 109 calories.
5. Lentils (Cost: $4): Deliver 11 grams of protein, 19 grams of carbohydrates, and 202 calories.
6. Quinoa (Cost: $9): Packs 10 grams of protein, 23 grams of carbohydrates, and 148 calories.
7. Eggs (Cost: $2): Provides 10 grams of protein, 6 grams of carbohydrates, and 184 calories.
8. Beef (Cost: $9): Contains 9 grams of protein, 16 grams of carbohydrates, and 136 calories.
9. Beans (Cost: $9): Offers 8 grams of protein, 25 grams of carbohydrates, and 229 calories.

Your daily dietary requirements are that you need at least 71 grams of protein, 107 grams of carbohydrates, and 1623 calories. Your challenge is to meet these nutritional targets by choosing from these nine food items and spending as little money as possible. How much is the minimum cost you need to spend to meet your nutritional needs? Remember, your response should only provide the optimal value. You could only assign integral portions of each type of food.",[18.0]
['Diet Problem'],"Imagine you are a fitness enthusiast who takes your daily nutritional needs very seriously. Your dietitian has provided you with specific benchmarks to achieve every day: 91 grams of protein, 136 grams of carbohydrates, and 1563 calories. 

You have a variety of food items available to you, each with its own cost and nutritional content. Let's take a look at what each of these food items offers:

- Chicken breast: For $7, it provides 12g of protein, 5g of carbs, and 231 calories.
- Tofu: Also $7, it delivers 10g of protein, 1g of carbs, and 210 calories.
- Spinach: This cost-effective option at just $1 provides 11g of protein, 30g of carbs, and 295 calories.
- Beef steak: Available at $9, it contributes 8g of protein, 26g of carbs, and 211 calories.
- Eggs: For $6, eggs add 16g of protein, 9g of carbs, and 232 calories to your daily intake.
- Brown rice: This $7 meal component provides 4g of protein, 25g of carbs, and 146 calories.
- Bananas: At just $2, they contribute 4g of protein, 16g of carbs, and 255 calories.
- Quinoa: For $6, quinoa provides 4g of protein, 20g of carbs, and 205 calories.

Now here is your challenge: Using these food options, how can you meet your daily dietary requirements while keeping the cost as low as possible? What is the minimum cost you need to spend to meet your daily nutritional needs? Keep in mind that your response should be a single answer question, asking for only the optimal value, under the scenario of food selection. You could only assign integral portions of each type of food.",[9.0]
['Diet Problem'],"Imagine you're meticulously planning your weekly meal prep and want to ensure that your diet is nutritionally balanced while also being cost-effective. You have a choice between five different food items, each with its own nutritional profile and cost. Your challenge is to choose the right combination of these foods to meet your nutritional needs without overspending.

Here's what each food item offers along with its cost:

- Food_1: Provides 10 grams of protein, 22 grams of carbohydrates, and 80 calories for $2.
- Food_2: Offers 3 grams of protein, 4 grams of carbohydrates, and 189 calories for $8.
- Food_3: Contains 17 grams of protein, 10 grams of carbohydrates, and 153 calories for $4.
- Food_4: Delivers 6 grams of protein, 13 grams of carbohydrates, and 232 calories for $1.
- Food_5: Packs 20 grams of protein, 5 grams of carbohydrates, and 204 calories for $8.

Your dietary goals are to consume at least 74 grams of protein, 102 grams of carbohydrates, and 1564 calories in total. What is the minimum cost required to meet these nutritional targets using any combination of the available food items? You could only assign integral portions of each type of food.",[13.0]
['Diet Problem'],"Imagine you're a dietitian crafting a meal plan for someone with specific nutritional goals. The challenge is not just to meet these nutritional needs but to do so in the most cost-effective way possible. The individual requires a precise amount of protein, carbohydrates, and calories each day, but the budget is tight, making it crucial to minimize the cost of the meal plan.

You have a list of eight food items to choose from, each with distinct nutritional content and associated cost:

- Food_1: A modest source of protein and carbs with 1 gram of protein, 4 grams of carbohydrates, and 93 calories at a cost of $6.
- Food_2: Rich in protein with 18 grams of protein, 2 grams of carbohydrates, and 219 calories, priced at $4.
- Food_3: A balanced choice providing 19 grams of protein, 26 grams of carbs, and 155 calories for $4.
- Food_4: High in protein with 19 grams of protein, 10 grams of carbs, and 105 calories, costing $3.
- Food_5: Carb-heavy with 3 grams of protein, 24 grams of carbohydrates, and 255 calories at just $2.
- Food_6: A good mix with 8 grams of protein, 26 grams of carbs, and 182 calories for $7.
- Food_7: Impressive protein and carb content with 15 grams of protein, 27 grams of carbohydrates, and 173 calories, all for $3.
- Food_8: Carb-rich with 3 grams of protein, 30 grams of carbohydrates, and 191 calories, also at $3.

The daily dietary requirements for the individual are:

- Protein: At least 98 grams
- Carbohydrates: At least 113 grams
- Calories: At least 1768

With these food options and nutritional needs in mind, what is the minimum cost required to meet the daily protein, carbohydrate, and calorie requirements? You could only assign integral portions of each type of food.",[24.0]
['Diet Problem'],"Imagine you are on a mission to ensure you're eating healthily but also on a tight budget. You have five different food items to choose from: Chicken, Rice, Beans, Broccoli, and Fruit. Each of these foods has a specific amount of protein, carbohydrates, and calories, and each comes with its own cost.

Here's an overview of what each food provides, along with its cost:

- Chicken: Gives you 12 grams of protein, 2 grams of carbohydrates, and 186 calories for $6.
- Rice: Provides 12 grams of protein, 24 grams of carbohydrates, and 250 calories for $6.
- Beans: Offers 19 grams of protein, 18 grams of carbohydrates, and 134 calories for $6.
- Broccoli: Supplies 19 grams of protein, 7 grams of carbohydrates, and 84 calories for $7.
- Fruit: Gives you 4 grams of protein, a high 27 grams of carbohydrates, and 104 calories for $9.

Your goal is to make sure you get at least 97 grams of protein, 163 grams of carbohydrates, and 2217 calories from the combination of these foods that you choose. Remember, youâ€™re trying to figure out the least expensive way to meet these nutritional goals with these five food options. 

So, what is the minimal cost you need to spend to satisfy all these dietary requirements? You could only assign integral portions of each type of food.",[54.0]
['Transportation Problem'],"Imagine you're the logistics coordinator in charge of distributing medical supplies among four different hospitals during an unexpected health crisis. Each hospital starts with a specific number of supplies but has varying needs based on the urgency and scale of cases they are handling.

Here's what each hospital has and what they need:

- Hospital 1 has 480 units of supplies but needs only 61 units.
- Hospital 2 has 492 units but needs 313 units.
- Hospital 3 has 74 units but needs 93 units.
- Hospital 4 has 317 units but needs 199 units.

Due to the urgent situation, you can transfer supplies between hospitals, but each transfer incurs a cost, which varies depending on the hospitals involved. Hereâ€™s a breakdown of the cost to transfer supplies from one hospital to another:

- Moving supplies from/to Hospital 1: To Hospital 2 costs 8, to Hospital 3 costs 42, to Hospital 4 costs 27.
- Moving supplies from/to Hospital 2: To Hospital 1 costs 17, to Hospital 3 costs 13, to Hospital 4 costs 30.
- Moving supplies from/to Hospital 3: To Hospital 1 costs 4, to Hospital 2 costs 14, to Hospital 4 costs 16.
- Moving supplies from/to Hospital 4: To Hospital 1 costs 33, to Hospital 2 costs 9, to Hospital 3 costs 42.

Your objective is to ensure each hospital has the supplies it needs while minimizing the total cost of transfers. What would be the minimum cost to achieve this?",[247.0]
['TravelingSalesman'],"Imagine a delivery driver who is tasked with delivering packages to six different locations, each uniquely identified as Location 1, 2, 3, 4, 5, and 6. The driver can kick off his route from any location, but he must visit each one exactly once before returning to the starting point. His goal is to find the route that minimizes the total delivery cost. This cost could be based on a combination of factors, such as distance, fuel consumption, or traffic congestion.

Here's a summary of the delivery costs between the locations:
From Location 1, it costs 48 units to get to Location 2, 23 units to Location 3, 70 units to Location 4, 14 units to Location 5, and 20 units to Location 6.
If the driver starts from Location 2, it would cost 48 units to reach Location 1, 79 units to reach Location 3, 37 units to reach Location 4, 63 units to reach Location 5, and 96 units to reach Location 6.
From Location 3, the costs are 23 units to reach Location 1, 79 units to reach Location 2, 40 units to reach Location 4, 66 units to reach Location 5, and 68 units to reach Location 6.
Starting at Location 4, it would cost the driver 70 units to get to Location 1, 37 units to get to Location 2, 40 units to get to Location 3, 70 units to get to Location 5, and 28 units to get to Location 6.
From Location 5, the costs are 14 units to get to Location 1, 63 units to get to Location 2, 66 units to get to Location 3, 70 units to get to Location 4, and 73 units to get to Location 6.
And finally, from Location 6, it would cost 20 units to drive to Location 1, 96 units to drive to Location 2, 68 units to drive to Location 3, 28 units to drive to Location 4, and 73 units to drive to Location 5.

The question is, what is the minimum total delivery cost for the driver to deliver packages to each location exactly once and return to the starting location?",[233.0]
['TravelingSalesman'],"Imagine a scenario where a salesperson is tasked with visiting four distinct cities to explore new market opportunities. These cities are uniquely identified as City 1, City 2, City 3, and City 4. The task for the salesperson is to plan a route that starts from any of these cities, traverses each city exactly once, and concludes by returning to the starting city. The overarching aim is to achieve this while incurring the minimum possible travel cost.

Hereâ€™s a detailed breakdown of the travel costs between the cities:
- The cost to travel from City 1 to City 2 is 17 units, to City 3 is 25 units, and to City 4 is 31 units.
- From City 2, it costs 17 units to reach City 1, 93 units to get to City 3, and 45 units to City 4.
- Traveling from City 3, the expenses are 25 units to City 1, 93 units to City 2, and 95 units to City 4.
- Lastly, from City 4, the journey costs 31 units to City 1, 45 units to City 2, and 95 units to City 3.

What is the minimum total travel cost for the salesperson to visit each city exactly once and return to the starting city?",[182.0]
['TravelingSalesman'],"In the scenario of the Travelling Salesman Problem (TSP), we consider four distinct cities labeled as City 1, City 2, City 3, and City 4. A salesperson must visit each of these cities starting from any one of them, travel to each of the other cities exactly once, and then return to the starting city. The primary objective for the salesperson is to minimize the total travel cost during this circuit.

Here's a detailed look at the travel costs between each pair of cities:
- The cost to travel from City 1 to City 2 is 76 units, to City 3 is 17 units, and to City 4 is 24 units.
- From City 2, the travel costs are 76 units to City 1, 84 units to City 3, and just 11 units to City 4.
- For journeys from City 3, it costs 17 units to reach City 1, a steep 84 units to get to City 2, and 90 units to go to City 4.
- Lastly, from City 4, the costs involved are 24 units to City 1, 11 units to City 2, and 90 units to City 3.

Given these conditions, what is the minimum total travel cost for the salesperson to complete their route of visiting each city exactly once and returning to the starting point?",[136.0]
['Network Optimization'],"Welcome to a challenge set in the bustling realm of digital communication within a fictional city, where data flows through a network of 9 strategic relay stations, connecting a central data source to a primary data sink. Each relay station serves as a node in this intricate web, tasked with handling the transmission of information packets. The objective is to optimize this network for the highest possible data throughput from the source to the sink, ensuring the city's communication infrastructure operates at peak efficiency.

Here's a detailed layout of the network's capacity, illustrating the maximum number of data packets per hour that can be transmitted from one station to another:

- From Station 0 (Source): Has the capacity to send data to Station 1 (14 packets), Station 2 (20 packets), Station 3 (7 packets), Station 4 (9 packets), Station 5 (1 packet), Station 6 (4 packets), Station 7 (8 packets), and Station 8 (19 packets).
- From Station 1: Can transmit data to Station 0 (3 packets), Station 2 (15 packets), Station 3 (12 packets), Station 4 (17 packets), Station 6 (15 packets), Station 7 (3 packets), and Station 8 (3 packets).
- From Station 2: Can send data to Station 0 (11 packets), Station 1 (8 packets), Station 3 (1 packet), Station 4 (19 packets), Station 5 (16 packets), Station 6 (5 packets), Station 7 (1 packet), and Station 8 (2 packets).
- From Station 3: Has the ability to route data to Station 0 (13 packets), Station 1 (13 packets), Station 2 (2 packets), Station 4 (16 packets), Station 5 (20 packets), Station 6 (16 packets), Station 7 (17 packets), and Station 8 (3 packets).
- From Station 4: Can forward data to Station 0 (6 packets), Station 1 (15 packets), Station 2 (7 packets), Station 3 (3 packets), Station 5 (18 packets), Station 6 (1 packet), Station 7 (3 packets), and Station 8 (9 packets).
- From Station 5: Capable of sending data to Station 0 (15 packets), Station 1 (20 packets), Station 2 (8 packets), Station 3 (4 packets), Station 4 (6 packets), Station 6 (3 packets), Station 7 (1 packet), and Station 8 (4 packets).
- From Station 6: Can transmit data to Station 0 (5 packets), Station 1 (15 packets), Station 2 (19 packets), Station 3 (4 packets), Station 4 (15 packets), Station 5 (12 packets), Station 7 (3 packets), and Station 8 (8 packets).
- From Station 7: Has the capacity to route data to Station 0 (7 packets), Station 1 (14 packets), Station 2 (13 packets), Station 3 (12 packets), Station 4 (9 packets), Station 5 (10 packets), Station 6 (3 packets), and Station 8 (4 packets).
- From Station 8 (Destination): Can receive data back from Station 0 (3 packets), Station 1 (12 packets), Station 2 (6 packets), Station 3 (6 packets), Station 4 (1 packet), Station 5 (11 packets), Station 6 (6 packets), and Station 7 (1 packet).

In this scenario, a ""0"" capacity means there is no direct data transmission link between those two particular stations.

Given this network configuration, your task is to calculate the maximum number of data packets that can be optimally transmitted from Station 0 (the source) to Station 8 (the destination) per hour, without exceeding the specified transmission capacities between stations. What is the maximum data throughput the city's communication network can achieve in packets per hour?",[52.0]
