problem_class,question,answer
"['Production Planning Problem', 'Operations Optimization']","A company produces two types of small motorcycles, where type A is entirely manufactured by the company, and type B is assembled from imported parts. The production, assembly, and inspection time required for each unit of these two products are shown in Table 3.2.

Table 3.2

| Type | Process | | | Selling Price <br> (Yuan/unit) |
| :---: | :---: | :---: | :---: | :---: |
| | Manufacturing | Assembly | Inspection | |
| Type A (hours/unit) | 20 | 5 | 3 | 650 |
| Type B (hours/unit) | 0 | 7 | 6 | 725 |
| Max production capacity per week (hours) | 120 | 80 | 40 | |
| Production cost per hour (Yuan) | 12 | 8 | 10 | |

If the company's operational goals and targets are as follows:

$p_{1}$ : The total profit per week should be at least 3000 yuan;

$p_{2}$ : At least 5 units of type A motorcycles should be produced per week;

$p_{3}$ : Minimize the idle time of each process as much as possible. The weight coefficients of the three processes are their hourly costs, and overtime is not allowed.

Try to establish a model for this problem.",272.0
['Facility Location Problem'],"Red Star Plastics Factory produces six distinct types of plastic containers. Each container type is characterized by a specific volume, market demand, and unit variable production cost, as detailed in Table 5-11.

**Table 5-11: Container Data**
| Container Type (Code)             | 1    | 2    | 3    | 4    | 5    | 6     |
| :------------------------------ | :--- | :--- | :--- | :--- | :--- | :---- |
| Volume ($\text{cm}^3$)             | 1500 | 2500 | 4000 | 6000 | 9000 | 12000 |
| Market Demand (units)           | 500  | 550  | 700  | 900  | 400  | 300   |
| Unit Variable Production Cost (Yuan/unit) | 5    | 8    | 10   | 12   | 16   | 18    |

The production of any container type necessitates the use of its dedicated specialized equipment. If the decision is made to **activate** the production equipment for a particular container type (i.e., if the production quantity of that type is greater than zero), a fixed setup cost of 1200 Yuan is incurred for that specific equipment.

Should the production quantity of a certain container type be insufficient to meet its direct demand, the factory has the option to utilize other container types with **larger or equal volume** as substitutes to fulfill this unmet demand. For instance, type 2 containers (volume 2500 $\text{cm}^3$) can be used to satisfy the demand for type 1 containers (requiring a volume of 1500 $\text{cm}^3$), but type 1 containers cannot be used for type 2 demand. In this problem, the container type codes are pre-sorted in ascending order of their volumes.

**Question:**
How should the factory organize its production? The objective is to develop a production plan that minimizes the total cost—comprising the sum of variable production costs for all containers produced and the fixed costs for all activated equipment—while ensuring that the demand for all container types is fully met.",43200.0
['Profit Maximization Problem'],"Tom and Jerry just bought a farm in Sunshine Valley, and they are considering using it to plant corn, wheat, soybeans, and sorghum. The profit per acre for planting corn is $1500, the profit per acre for planting wheat is $1200, the profit per acre for planting soybeans is $1800, and the profit per acre for planting sorghum is $1600. To maximize their profit, how many acres of land should they allocate to each crop? Tom and Jerry’s farm has a total area of 100 acres.

The land area used for planting corn must be at least twice the land area used for planting wheat.

The land area used for planting soybeans must be at least half the land area used for planting sorghum.

The land area used for planting wheat must be three times the land area used for planting sorghum.",180000.0
"['Knapsack', 'Diet Problem']","Mary is planning tonight's dinner. She wants to choose a combination of protein and vegetables to maximize her protein intake for the meal. Her protein options are chicken, salmon, and tofu, which can be bought in any quantity.

- Chicken: 23g protein, $3.00 cost, per 100g.
- Salmon: 20g protein, $5.00 cost, per 100g.
- Tofu: 8g protein, $1.50 cost, per 100g.

She also wants to choose from a list of five vegetables, sold in 100g packs. She must select at least three different types of vegetables.

- Broccoli (100g pack): 2.8g protein, $1.20 cost.
- Carrots (100g pack): 0.9g protein, $0.80 cost.
- Spinach (100g pack): 2.9g protein, $1.50 cost.
- Bell Pepper (100g pack): 1.0g protein, $1.00 cost.
- Mushrooms (100g pack): 3.1g protein, $2.00 cost.

Mary has two main constraints:
1. Her total budget is $20.
2. The total weight of all food must not exceed 800 grams.

How should Mary choose her ingredients to get the maximum possible amount of protein?",123.8
['Lot-Sizing Problem'],"A certain factory needs to use a special tool over $n$ planning stages. At stage $j$, $r_j$ specialized tools are needed. At the end of this stage, all tools used within this stage must be sent for repair before they can be reused. There are two repair methods: one is slow repair, which is cheaper (costs $b$ per tool) but takes longer ($p$ stages to return, e.g. if a tool goes to repair after stage 1, it will return at stage 1+p); the other is fast repair, which costs $c$ per tool $(c > b)$ and is faster, requiring only $q$ stages to return $(q < p)$. If the repaired tools cannot meet the needs, new ones must be purchased, with a cost of $a$ per new tool $(a > c)$. This special tool will no longer be used after $n$ stages. Determine an optimal plan for purchasing and repairing the tools to minimize the cost spent on tools during the planning period.\n\nn = 10  # number of stages\nr = [3, 5, 2, 4, 6, 5, 4, 3, 2, 1]  # tool requirements per stage, indexing starts at 1\na = 10  # cost of buying a new tool\nb = 1   # cost of slow repair\nc = 3   # cost of fast repair\np = 3   # slow repair duration\nq = 1   # fast repair duration",134.0
"['Lot-Sizing Problem', 'Capacitated Lot-sizing Problem (CLSP)']","A store plans to formulate the purchasing and sales plan for a certain product for the first quarter of next year. It is known that the warehouse capacity of the store can store up to 500 units of the product, and there are 200 units in stock at the end of this year. The store purchases goods once at the beginning of each month. The purchasing and selling prices of the product in each month are shown in Table 1.3.

Table 1.3

| Month | 1 | 2 | 3 |
| :---: | :---: | :---: | :---: |
| Purchasing Price (Yuan) | 8 | 6 | 9 |
| Selling Price (Yuan) | 9 | 8 | 10 |

Now, determine how many units should be purchased and sold each month to maximize the total profit, and express this problem as a linear programming model.",4100.0
['Production Planning Problem'],"A textile factory produces two types of fabrics: one for clothing and the other for curtains. The factory operates two shifts, with a weekly production time set at 110 hours. Both types of fabrics are produced at a rate of 1000 meters per hour. Assuming that up to 70,000 meters of curtain fabric can be sold per week, with a profit of 2.5 yuan per meter, and up to 45,000 meters of clothing fabric can be sold per week, with a profit of 1.5 yuan per meter, the factory has the following objectives in formulating its production plan:

$p_{1}$ : The weekly production time must fully utilize 110 hours;

$p_{2}$ : Overtime should not exceed 10 hours per week;

$p_{3}$ : At least 70,000 meters of curtain fabric and 45,000 meters of clothing fabric must be sold per week;

$p_{4}$ : Minimize overtime as much as possible.

Formulate a model for this problem.",5.0
['Production Planning Problem'],"A furniture store can choose to order chairs from three different manufacturers: A, B, and C. The cost of ordering each chair from manufacturer A is $50, from manufacturer B is $45, and from manufacturer C is $40. The store needs to minimize the total cost of the order.

Additionally, each order from manufacturer A will include 15 chairs, while each order from manufacturers B and C will include 10 chairs. The number of orders must be an integer. The store needs to order at least 100 chairs.

Each order from manufacturer A will include 15 chairs, while each order from manufacturers B and C will include 10 chairs. The store needs to order at most 500 chairs.

If the store decides to order chairs from manufacturer A, it must also order at least 10 chairs from manufacturer B.

Furthermore, if the store decides to order chairs from manufacturer B, it must also order chairs from manufacturer C.",4000.0
"['Production Planning Problem', 'Profit Maximization Problem']","Bright Future Toys wants to build and sell robots, model cars, building blocks, and dolls. The profit for each robot sold is $15, for each model car sold is $8, for each set of building blocks sold is $12, and for each doll sold is $5. How many types of toys should Bright Future Toys manufacture to maximize profit?
There are 1200 units of plastic available. Each robot requires 30 units of plastic, each model car requires 10 units of plastic, each set of building blocks requires 20 units of plastic, and each doll requires 15 units of plastic.

There are 800 units of electronic components available. Each robot requires 8 units of electronic components, each model car requires 5 units of electronic components, each set of building blocks requires 3 units of electronic components, and each doll requires 2 units of electronic components.

If Bright Future Toys manufactures robots, they will not manufacture dolls.

However, if they manufacture model cars, they will also manufacture building blocks.

The number of dolls manufactured cannot exceed the number of model cars manufactured.",956.0
"['Lot-Sizing Problem', 'Operations Optimization']","A restaurant needs to order dining tables from three different suppliers, A, B, and C. The cost of ordering each dining table from Supplier A is $120, from Supplier B is $110, and from Supplier C is $100. The restaurant needs to minimize the total cost of the order.

Additionally, each order from Supplier A will include 20 tables, while each order from Suppliers B and C will include 15 tables. The number of orders must be an integer. The restaurant needs to order at least 150 tables.

Each order from Supplier A will include 20 tables, and each order from Suppliers B and C will include 15 tables. The restaurant needs to order no more than 600 tables.

If the restaurant decides to order tables from Supplier A, it must also order at least 30 tables from Supplier B.

Additionally, if the restaurant decides to order tables from Supplier B, it must also order tables from Supplier C.",15000.0
"['Production Planning Problem', 'Capacitated Lot-sizing Problem (CLSP)']","A company plans to produce 3 types of products $A_{1}, A_{2}, A_{3}$. It can produce for 22 days in a month. The following table gives the maximum demand (unit $=100 \mathrm{~kg}$), price ($\$ / 100 \mathrm{Kg}$), production cost (per 100Kg product), and production quota (the maximum number of 100kg units that can be produced in one day if all production lines are devoted to this product).

| Product | $A_{1}$ | $A_{2}$ | $A_{3}$ |
| :---: | :---: | :---: | :---: |
| Maximum Demand | 5300 | 4500 | 5400 |
| Selling Price | $124$ | $109$ | $115$ |
| Production Cost | $73.30$ | $52.90$ | $65.40$ |
| Production Quota | 500 | 450 | 550 |

The fixed activation cost of the production line is as follows:

| Product | $A_{1}$ | $A_{2}$ | $A_{3}$ |
| :---: | :---: | :---: | :---: |
| Activation Cost | $170000$ | $150000$ | $100000$ |

Minimum production batch:

$$
\begin{array}{c|ccc}
Product & A_{1} & A_{2} & A_{3} \\
\hline
Minimum Batch & 20 & 20 & 16
\end{array}
$$

Please formulate an operations research model to determine a production plan that maximizes total revenue while accommodating fixed activation costs and minimum production batch constraints.",270290.0
"['Profit Maximization Problem', 'Production Planning Problem']","Hongdou Clothing Factory uses three special equipment to produce shirts, short-sleeved shirts, and casual clothes respectively. It is known that the labor, material usage, selling price, and variable cost of each of the above products are as shown in Table 5-10.

Table 5-10

| Product Name | Labor per unit | Material per unit | Selling Price | Variable Cost |
|--------------|----------------|------------------|---------------|---------------|
| Shirt        | 3              | 4                | 120           | 60            |
| Short-sleeve | 2              | 3                | 80            | 40            |
| Casual Cloth | 6              | 6                | 180           | 80            |

It is known that the available labor per week is 1500 units, the available material is 1600 units, and the weekly fixed costs for the three special equipment for producing shirts, short-sleeved shirts, and casual clothes are 2000, 1500, and 1000 respectively. Design a weekly production plan for the factory to maximize its profit.",24000.0
['Transportation Problem'],"A manufacturing company needs to transport 1800 units of product from the warehouse to three different sales points. The company has four transportation options to choose from: truck, van, motorcycle, and electric vehicle. Since the van and electric vehicle both consume a lot of energy, the company wants to choose only one of these two options. Each trip with a truck generates 100 units of pollution, a van generates 50 units of pollution, a motorcycle generates 10 units of pollution, and an electric vehicle generates 0 units of pollution. The total pollution generated from all trips cannot exceed 2000 units. At least 10 trips must use a truck. Trucks, vans, motorcycles, and electric vehicles can transport 100 units, 80 units, 40 units, and 60 units of product per trip, respectively. The company needs to ensure that the total amount of transported product is at least 1800 units. Return the minimized pollution in units while meeting all constraints.",1000.0
['PortfolioOptimization'],"An investor plans to invest 100,000 yuan, with two investment options to choose from. The first investment guarantees a return of 0.7 yuan for every 1 yuan invested after one year. The second investment guarantees a return of 2 yuan for every 1 yuan invested after two years, but the investment time must be in multiples of two years. In order to maximize the investor's earnings by the end of the third year, how should the investments be made? Formulate this as a linear programming problem.",510000.0
['Set Multi-Cover'],"The number of salespeople required at a 24-hour convenience store in different time periods is as follows: 2:00-6:00 - 10 people, 6:00-10:00 - 15 people, 10:00-14:00 - 25 people, 14:00-18:00 - 20 people, 18:00-22:00 - 18 people, 22:00-2:00 - 12 people. Salespeople start their shifts at 2:00, 6:00, 10:00, 14:00, 18:00, and 22:00, working continuously for 8 hours. Determine the minimum number of salespeople needed to meet the requirements.",53.0
"['Factory Planning Problem', 'Production Planning Problem']","A factory produces three types of products: I, II, and III. Each product needs to go through two processing procedures, A and B. The factory has two pieces of equipment that can complete process A, denoted as A1 and A2; it has three pieces of equipment that complete process B, denoted as B1, B2, and B3. Product I can be processed on any equipment for A and B; Product II can be processed on any A equipment but only on B1 for process B; Product III can only be processed on A2 and B2. Given the unit processing time on various machines, raw material costs, product sale prices, effective machine hours, and the costs of operating the machines at full capacity as shown in Table 1-4, the task is to arrange the optimal production plan to maximize the factory's profit.

Table 1-4
| Equipment  | Product I | Product II | Product III | Effective Machine Hours | Operating Costs at Full Capacity (Yuan) |
|------------|-----------|------------|-------------|--------------------------|------------------------------------------|
| A1         | 5         | 10         |             | 6000                     | 300                                      |
| A2         | 7         | 9          | 12          | 10000                    | 321                                      |
| B1         | 6         | 8          |             | 4000                     | 250                                      |
| B2         | 4         |            | 11          | 7000                     | 783                                      |
| B3         | 7         |            |             | 4000                     | 200                                      |
| Raw Material Cost (Yuan/Unit) | 0.25 | 0.35       | 0.50       |                          |                                          |
| Unit Price (Yuan/Unit)        | 1.25 | 2.00       | 2.80       |                          |                                          |",1146.4142
['Profit Maximization Problem'],"Someone has a fund of 300,000 yuan and has the following investment projects in the next three years:
(1) Investment can be made at the beginning of each year within three years, with an annual profit of 20% of the investment amount, and the principal and interest can be used for investment in the following year;
(2) Investment is only allowed at the beginning of the first year, and it can be recovered at the end of the second year, with the total principal and interest amounting to 150% of the investment amount, but the investment limit is no more than 150,000 yuan;
(3) Investment is allowed at the beginning of the second year within three years, and it can be recovered at the end of the third year, with the total principal and interest amounting to 160% of the investment amount, and the investment limit is 200,000 yuan;
(4) Investment is allowed at the beginning of the third year within three years, and it can be recovered in one year with a profit of 40%, and the investment limit is 100,000 yuan.
Chapter One: Linear Programming and Simplex Method
Try to determine an investment plan for this person that maximizes the principal and interest at the end of the third year.",580000.0
['Assignment Problem'],"Jieli Company needs to recruit three types of professionals to work in the two regional branches located in Donghai City and Nanjiang City. The demand for different professionals in these regional branches is shown in Table 4-3. After assessing the situation of the applicants, the company has categorized them into 6 types. Table 4-4 lists the specialties each type of person can handle, the specialty they prefer, and the city they prefer to work in. The company's personnel arrangement considers the following three priorities:
$p_1$: All three types of professionals needed are fully met;
$p_2$: 4000 recruited personnel meet their preferred specialty;
$p_3$: 4000 recruited personnel meet their preferred city.
Formulate a plan to minimize the total number of people that need to move from one city to another to meet these priorities. Return the minimized objective value.

Table 4-3
| Branch Location | Specialty | Demand |
|-----------------|-----------|--------|
| Donghai City    | 1         | 1000   |
| Donghai City    | 2         | 2000   |
| Donghai City   | 3         | 1500   |
| Nanjiang City   | 1         | 2000   |
| Nanjiang City   | 2         | 1000   |
| Nanjiang City   | 3         | 1000   |

Table 4-4

| Type | Number of People | Suitable Specialty | Preferred Specialty | Preferred City |
|------|------------------|--------------------|---------------------|----------------|
| 1    | 1500             | 1,2                | 1                   | Donghai        |
| 2    | 1500             | 2,3                | 2                   | Donghai        |
| 3    | 1500             | 1,3                | 1                   | Nanjiang       |
| 4    | 1500             | 1,3                | 3                   | Nanjiang       |
| 5    | 1500             | 2,3                | 3                   | Donghai        |
| 6    | 1500             | 3                  | 3                   | Nanjiang       |",2000.0
['Diet Problem'],"Suppose a certain animal needs at least $700 \mathrm{~g}$ of protein, $30 \mathrm{~g}$ of minerals, and $100 \mathrm{mg}$ of vitamins daily. There are 5 types of feed available, and the nutritional content and price per kilogram of each type of feed are shown in Table 1-5:
Try to formulate a linear programming model that meets the animal's growth needs while minimizing the cost of selecting the feed.
Table 1-6
| Feed | Protein (g) | Minerals (g) | Vitamins (mg) | Price (¥/kg) | Feed | Protein (g) | Minerals (g) | Vitamins (mg) | Price (¥/kg) |
|------|-------------|--------------|---------------|--------------|------|-------------|--------------|---------------|--------------|
| 1    | 3           | 1            | 0.5           | 0.2          | 4    | 6           | 2            | 2             | 0.3          |
| 2    | 2           | 0.5          | 1             | 0.7          | 5    | 18          | 0.5          | 0.8           | 0.8          |
| 3    | 1           | 0.2          | 0.2           | 0.4          |      |             |              |               |              |",32.43589744
"['Factory Planning Problem', 'Production Planning Problem', 'Profit Maximization Problem']","A factory produces three types of products: I, II, and III. Each product must undergo two processing stages, A and B. The factory has two types of equipment to complete stage A (A1, A2) and three types of equipment to complete stage B (B1, B2, B3).

The production rules are as follows:
- Product I can be processed on any type of A equipment (A1 or A2) and any type of B equipment (B1, B2, or B3).
- Product II can be processed on any type of A equipment (A1 or A2), but for stage B, it can only be processed on B1 equipment.
- Product III can only be processed on A2 equipment for stage A and B2 equipment for stage B.

The detailed data for processing time per piece, costs, sales price, and machine availability is provided in the table below. The objective is to determine the optimal production plan to maximize the factory's total profit.

Data Table
| Equipment | Product I | Product II | Product III | Effective Machine Hours | Full - load Equipment Cost (Yuan) | Processing Cost per Machine Hour (Yuan/hour) |
| :--- | :--- | :--- | :--- | :--- | :--- | :--- |
| A1 | 5 | 10 | - | 6000 | 300 | 0.05 |
| A2 | 7 | 9 | 12 | 10000 | 321 | 0.03 |
| B1 | 6 | 8 | - | 4000 | 250 | 0.06 |
| B2 | 4 | - | 11 | 7000 | 783 | 0.11 |
| B3 | 7 | - | - | 4000 | 200 | 0.05 |
| Raw Material Cost (Yuan/piece) | 0.25 | 0.35 | 0.5 | - | - | - |
| Unit Price (Yuan/piece) | 1.25 | 2 | 2.8 | - | - | - |",1190.38
['Production Planning Problem'],"A product consists of three components produced by four workshops, each with a limited number of production hours. Table 1.4 below provides the production rates of the three components. The objective is to determine the number of hours each workshop should allocate to each component to maximize the number of completed products. Formulate this problem.

Table 1.4

| Workshop | Production Capacity (hours) | Production Rate (units/hour) |   |   |
| :------: | :-------------------------: | :--------------------------: | - | - |
|          |                             | Component 1 | Component 2  | Component 3 |
|    A     |           100               |      10      |      15     |      5      |
|    B     |           150               |      15      |      10     |      5      |
|    C     |           80                |      20      |      5      |      10     |
|    D     |           200               |      10      |      15     |      20     |",2924.0
['Knapsack'],"A wealthy noble passed away, leaving the following inheritance:

- A painting by Caillebotte: $25000
- A bust of Diocletian: $5000
- A Yuan dynasty Chinese vase: $20000
- A 911 Porsche: $40000
- Three diamonds: each $12000
- A Louis XV sofa: $3000
- Two very precious Jack Russell racing dogs: each $3000 (will stipulates they must not be separated)
- A sculpture from 200 AD: $10000
- A sailing boat: $15000
- A Harley Davidson motorcycle: $10000
- A piece of furniture once belonging to Cavour: $13000,

which must be shared between two sons. How to formulate a mathematical program and solve it to minimize the difference in value between the two parts?",1000.0
