problem_class,error analysis
Knapsack,"[(""It easy to make mistakes by using placeholders like '...' and not listing the full values and costs arrays with all items in the code. That makes the script incomplete."", ""In the final Gurobi/Python code, expand every parameter fully. Do not use placeholders or ellipses."")]"
Lot-Sizing Problem,"[(""When solving production planning problems where items are counted in whole units (e.g., the statement uses ‘unit’, ‘per unit’, or ‘how many units’), it is easy to make mistakes by allowing fractional production for inherently discrete items."", ""When you encounter production planning problems that mention ‘unit’ of items or similar notions, please restrict the relevant decision variables to be integral so that only whole units can be produced, unless the problem explicitly allows fractional production.""), (""When solving multi-period lot-sizing/inventory models with specified initial inventories, it is easy to make mistakes by mis-indexing the inventory state (e.g., reusing I[0] as both the fixed initial inventory and the inventory at the end of the first period), which forces incorrect carryover and mischarges holding cost."", ""If there is given initial inventory, make sure to use a different name for the initial inventory versus the inventory at the end of the first period.""), (""When solving multi-period lot-sizing, if there are periods that are unavailable for production, it is easy to make mistakes by relying on implicit restrictions (e.g., zero capacity in a needed period) instead of explicitly forbidding production. Also, it is easy to make mistakes in the treatment of the inventory at the end of the first period, t=0."", ""When you encounter multi-period production–inventory problems, if some periods are unavailable for production, please add explicit no-production constraints for unavailable periods (x_{p,t}=0), where x_{p,t} is the production amount for product p on period t. If there is no given initial inventory and backlogs are not allowed, then the inventory at the end of period t=0 is given by I_{p,0}=x_{p,0}-s_{p,0} where I_{p,0} is the inventory at the end of period 0, x_{p,0} the amount produced in period 0, and s_{p,0} the sales in period 0; for t>0, we need to account for the inventory from the previous period I_{p, t-1} as follows I_{p,t}=I_{p,t-1}+x_{p,t}-s_{p,t}). Please ensure the objective charges holding costs only on end-of-period inventories.""), (""When solving multi-period lot-sizing problems with recurring per-period costs (e.g., maintenance costs), it is easy to make mistakes by modeling these costs as a one-time charge rather than accruing it each period the asset remains in service."", ""When you encounter multi-period lot-sizing problems with recurring costs, please model the recurring costs correctly by accruing them for all periods the asset remains in use, and not only one time when it is first installed, unless explicitly stated otherwise."" ), (""When solving multi-period inventory models that may allow unmet demand (lost sales) or backorders, it is easy to make mistakes by writing the inventory-balance equation with the wrong sign/placement of the shortage term, effectively treating shortage as extra demand."", ""When you encounter multi-period inventory problems that allow unmet demand or backorders, please define the unmet-demand/backlog variable precisely and write a consistent flow: for example, for lost sales use I_t = I_{t-1} + x_t - D_t + L_t (L_t >= 0) where I_t is the inventory of period t, x_t the quantity produced in period t, D_t the demand in period t, and L_t the lost sales/unmet demand in period t; for backorders introduce B_t for the backorders in period t and use I_t = I_{t-1} + x_t - D_t - B_{t-1} + B_t. Also be careful to set the initial inventory correctly if an initial inventory quantity is given (do not confuse it with the inventory I_0 at the end of the first period 0), and apply capacity constraints to peak on-hand inventory (I_{t-1}+x_t) and end inventory (I_t) for each period when applicable."")]"
Minimum Cost Flow Problem,"[ (""When solving min-cost flow models with node supplies/demands stored in a vector, it is easy to make mistakes by flipping the sign in the flow-balance constraints (treating supply as demand or vice versa)."", ""When you model min-cost flow with node imbalances recorded in a vector B, choose one convention and apply it consistently: if B[i]>0 denotes net supply (so B[i] is positive for supply surplus and negative for net demand), enforce flow conservation as outflow from i − inflow into i <= B[i], i.e., ∑_j x[i,j] − ∑_j x[j,i] <= B[i];  if B[i]>0 denotes net demand (so B[i] is negative for supply surplus and positive for net demand), then enforce inflow into i − outflow from i >= B[i], i.e., ∑_j x[j,i] − ∑_j x[i,j] >= B[i].""), (""When solving min-cost flow problems that actually include fixed costs for using an arc, it is easy to make mistakes by modeling the fixed cost as a per-unit cost rather than a one-time activation cost."", ""When you encounter a flow with per-arc fixed costs, please introduce a binary variable y[i,j] corresponding to whether the arc is used and link it to the flow (e.g., x[i,j] ≤ M·y[i,j]); include the fixed cost term c_fixed[i,j]·y[i,j] (and any per-unit cost term c_var[i,j]·x[i,j]) in the objective.""), (""When solving general min-cost flow on arbitrary networks, it is easy to make mistakes by allowing only to send flow from a node with net supply directly to a node with net demand."", ""When you face a network flow on a general graph, you do not need to directly send the flow from a node with net supply to a node with net demand, you can allow the use of intermediate nodes unless explicitly forbidden."") ]"
Network Optimization,"[ (""When solving network optimization problems with node supplies/demands, it is easy to make mistakes by flipping the sign in the flow-balance constraints (treating supply as demand or vice versa)."", ""When you encounter network optimization with node imbalances recorded in a vector B, please choose one convention and apply it consistently: if B[i]>0 denotes net supply (so B[i] is positive for supply surplus and negative for net demand), enforce flow conservation as outflow from i − inflow into i <= B[i], i.e., ∑_j x[i,j] − ∑_j x[j,i] <= B[i];  if B[i]>0 denotes net demand (so B[i] is negative for supply surplus and positive for net demand), then enforce inflow into i − outflow from i >= B[i], i.e., ∑_j x[j,i] − ∑_j x[i,j] >= B[i].""), (""When solving network optimization problems that include fixed costs for using an arc, it is easy to make mistakes by modeling a fixed cost as a per-unit cost rather than a one-time activation cost."", ""When you encounter a network optimization problem with per-arc fixed costs, please introduce a binary variable y[i,j] corresponding to whether the arc is used and link it to the flow (e.g., x[i,j] ≤ M·y[i,j]); include the fixed cost term c_fixed[i,j]·y[i,j] (and any per-unit cost term c_var[i,j]·x[i,j]) in the objective."") ]"
Operations Optimization,"[ (""When solving multi-period inventory models that may allow unmet demand (lost sales) or backorders, it is easy to make mistakes by writing the inventory-balance equation with the wrong sign/placement of the shortage term or by omitting the backlog."", ""When you encounter multi-period inventory problems that allow unmet demand or backorders, please define the unmet-demand/backlog variable precisely and write a consistent flow: for example, for lost sales use I_t = I_{t-1} + x_t - D_t + L_t (L_t >= 0) where I_t is the inventory of period t, x_t the quantity produced in period t, D_t the demand in period t, and L_t the lost sales/unmet demand in period t; for backorders introduce B_t for the backorders in period t and use I_t = I_{t-1} + x_t - D_t - B_{t-1} + B_t. Also be careful to set the initial inventory correctly if an initial inventory quantity is given (do not confuse it with the inventory I_0 at the end of the first period 0), and apply capacity constraints to peak on-hand inventory (I_{t-1}+x_t) and end inventory (I_t) for each period when applicable.""), (""When solving multi-period lot-sizing/inventory models with specified initial inventories, it is easy to make mistakes by mis-indexing the inventory state (e.g., reusing I[0] as both the fixed initial inventory and the inventory at the end of the first period), which forces incorrect carryover and mischarges holding cost."", ""If there is given initial inventory, make sure to use a different name for the initial inventory versus the inventory at the end of the first period.""), (""When solving multi-period lot-sizing problems with recurring per-period costs (e.g., maintenance costs), it is easy to make mistakes by modeling these costs as a one-time charge rather than accruing it each period the asset remains in service."", ""When you encounter multi-period lot-sizing problems with recurring costs, please model the recurring costs correctly by accruing them for all periods the asset remains in use, and not only one time when it is first installed, unless explicitly stated otherwise.""), (""When solving problems with multiple metrics that are combined in a single objective, it is easy to make mistakes by using wrong coefficients for each metric in the objective."", ""When solving problems with multiple metrics that are combined in a single objective, be careful to use any coefficient values that are provided in the problem description in order to define correctly the objective function and make sure everything is in the right units."")"
Production Planning Problem,"[ (""When solving production planning problems where items are counted in whole units (e.g., the statement uses ‘unit’, ‘per unit’, or ‘how many units’), it is easy to make mistakes by allowing fractional production for inherently discrete items."", ""When you encounter production planning problems that mention ‘unit’ of items or similar notions, please restrict the relevant decision variables to be integral so that only whole units can be produced, unless the problem explicitly allows fractional production.""), (""When solving multi-period inventory problems with optional shortages or backorders, it is easy to make mistakes by not taking backlog into account correctly in the balance equation (e.g., using the wrong signs), which distorts feasibility and costs."", ""When you encounter multi-period inventory problems that allow backlog, please take backlog into account explicitly at period t as follows: x_t + I_{t-1} = d_t + B_{t-1} - B_t + I_t, where B_{t-1} is the backlog from the previous time, B_t is the backlog at the end of the present time, I_{t-1} is the inventory from the previous time, I_t is the inventory at the end of the present time, and x_t is the production level of the current time. Notice that the backlog from the previous time should be added to the demand, and the present backlog should be subtracted.""),  (""When solving multi-period lot-sizing/inventory models with specified initial inventories, it is easy to make mistakes by mis-indexing the inventory state (e.g., reusing I[0] as both the fixed initial inventory and the inventory at the end of the first period), which forces incorrect carryover and mischarges holding cost."", ""If there is given initial inventory, make sure to use a different name for the initial inventory versus the inventory at the end of the first period."")]"
Profit Maximization Problem,"[(""When solving blending/production problems with multiple types of production sources (e.g., energy sources) with maximum quantities for each type, it is easy to make mistakes by assuming a source has to deliver its maximum quantity when used, instead of allowing partial production up to the capacity limit"", ""When solving blending/production problems with multiple types of production sources (e.g., energy sources) with maximum quantities for each type, please define variables y_i for the quantity that is provided from each type of source i, such that 0 <= y_i <= maxQuantity_i. Use these variables both for any costs that depend on the production amounts in the objective, as well as to make sure enough quantities have been produced to satisfy the demand.""), (""When solving blending/production problems with multiple types of production sources (e.g., energy sources) and installation costs for each type, it is easy to make mistakes by considering the installation cost to be dependent on the produced quantity of each type, instead of a fixed cost for using the type/source"", ""When solving blending/production problems with multiple types of production sources (e.g., energy sources) and installation costs for each type, please define binary variables x_i representing whether the type/source i is used and multiply this with the installation cost of i in the objective in order to capture the installation cost for each type/source as fixed cost for using that type/source, and not dependent on the amount produced by the source, unless explictly stated otherwise.""), (""When solving linear facility-sizing or resource-allocation models, it is easy to make mistakes by misinterpreting the objective’s units or confusing costs/benefits for different aspects of the problem in the objective."", ""When solving linear facility-sizing or resource-allocation models, think carefully what are the correct units in the objective, for example if we are allowed to allocate partial amounts (e.g., there is a total available area and we can allocate in some of it), then we may pay partial cost, but also may have partial benefits, i.e., only the proportion of benefits that correspond to this allocation fraction are obtained.""), (""When solving problems with multiple demands/orders, it is easy to make mistakes by returning the optimal objective for a single demand, instead of the total objective for all demands."", ""When solving problems with multiple demands/orders, make sure that the objective captures the total objective for all demands and not only for a single demand.""), (""When solving problems with multiple metrics that are combined in a single objective, it is easy to make mistakes by using wrong coefficients for each metric in the objective."", ""When solving problems with multiple metrics that are combined in a single objective, be careful to use any coefficient values that are provided in the problem description in order to define correctly the objective function and make sure everything is in the right units."")]"
SupplyChain,"[ (""When solving supply chain network-flow or transportation models with node supplies/demands, it is easy to make mistakes by flipping the sign convention in the flow-conservation equations."", ""When you encounter supply chain network-flow problems with node imbalances recorded in a vector B, please choose one convention and apply it consistently: if B[i]>0 denotes net supply (so B[i] is positive for supply surplus and negative for net demand), enforce flow conservation as outflow from i − inflow into i <= B[i], i.e., ∑_j x[i,j] − ∑_j x[j,i] <= B[i];  if B[i]>0 denotes net demand (so B[i] is negative for supply surplus and positive for net demand), then enforce inflow into i − outflow from i >= B[i], i.e., ∑_j x[j,i] − ∑_j x[i,j] >= B[i].""), (""When solving multi-period supply chain lot-sizing/inventory models with specified initial inventory, it is easy to make mistakes by mis-indexing the inventory state (e.g., using I[0] as both the fixed initial inventory and the inventory at the end of the first period), which forces incorrect carryover and distorts costs."", ""If there is given initial inventory, make sure to use a different name for the initial inventory versus the inventory at the end of the first period."") ]"
Transportation Problem,"[ (""When solving transportation problems with node supplies/demands, it is easy to make mistakes by flipping the sign convention in the flow-conservation equations."", ""When you encounter transportation/network-flow models with supplies/demands on the nodes, enforce flow conservation as demand_i + outflow_from_i <= supply_i + inflow_into_i. Note that if you have more total supply than total demand you must use inequality instead of equality.""), (""When solving transportation problems that include a fixed cost to open/use a route (edge), it is easy to make mistakes by treating that cost as per-unit and omitting the open/close decision."", ""When solving transportation problems that include a fixed cost to open/use a route (edge), please introduce a binary variable y[i,j] to represent using edge (i,j) and include the fixed charge c[i,j]·y[i,j] in the objective; link the flow x[i,j] on the edge to the corresponding binary variable with a capacity big-M constraint x[i,j] ≤ M·y[i,j] so the fixed costs are paid only when the edge carries flow.""), (""It is easy to make mistakes by allowing only to send flow from a node with net supply directly to a node with net demand."", ""You do not need to directly send the flow from a node with net supply to a node with net demand, you can allow the use of intermediate nodes unless explicitly forbidden.""),  (""It is easy to make mistakes by trying to solve the problem by brute force"", ""Do not try to solve the problem by enumerating all possible solutions or by using any kind of reasoning alone. Instead, focus on formulating the optimization model and the python code to solve it"") ]"
TravelingSalesman,"[ (""When solving TSP, it is easy to make mistakes by not enforcing the MTZ subtour elimination constraints correctly."", ""When solving TSP using MTZ, fix one city’s position (e.g., u[0]=0) and apply u[i] − u[j] + n·x[i,j] ≤ n−1 for the *remaining* cities i, j≠0 with i≠j to ensure no subtours are created; do *not* apply this constraint u[i] − u[j] + n·x[i,j] ≤ n−1 for the city whose position you fixed (e.g., city 0)""), (""When solving TSPs that use MTZ order variables, it is easy to make mistakes by declaring the position/order variables u[i] as continuous, allowing fractional positions that do not correspond to a valid city ordering."", ""When you implement MTZ order variables, please declare the position variable of node i, denote for example by u[i], as integer with tight bounds (e.g., u[0]=0 and 1≤u[i]≤n−1 for i>0) so the solver enforces a discrete tour ordering.""), (""When solving TSP formulations, it is easy to make mistakes by allowing self-loops (x[i,i]) and counting them in the degree constraints, enabling zero-length “tours” that satisfy in/out-degree but are invalid."", ""When you set up the TSP arc set, please exclude self-loops by defining x[i,j] only for i≠j (or fix x[i,i]=0) and enforce degree constraints as ∑_{j: j≠i} x[i,j]=1 and ∑_{i: i≠j} x[i,j]=1 for each city.""), (""If in a TSP problem not all cities/nodes need to be visited or if there is a given visit order preference/constraint between the nodes, you have to be careful."", ""If in a TSP problem not all cities/nodes need to be visited or if there is a given visit order preference/constraint between the nodes, please use binary selection x_i and assignment y_{i,k} with ∑_k y{i,k}=x_i and ∑_i y{i,k}≤1, define pos_i=∑_k k·y{i,k}, enforce any stated precedences (e.g., pos_A+1≤pos_B, …), and avoid hard-coding the number of stops or irrelevant capacity limits.""), (""When solving TSP or routing variants that include per-visit service/dwell times, it is easy to make mistakes by minimizing only travel time and omitting node service times from the objective, thereby understating total time/cost."", ""When you handle TSP/routing with service times, please include both arc travel times and node service/dwell times in the objective and ensure the tour returns to the start if required.""), (""It is easy to make mistakes by trying to solve the problem by brute force"", ""Do not try to solve the problem by enumerating all possible solutions or by using any kind of reasoning alone. Instead, focus on formulating the optimization model and the python code to solve it"")]"
Unit Commitment Problem,"[ (""When solving unit-commitment models, it is easy to make mistakes by forcing all generators online at period 0, by charging incorrect startup costs at period 0, and by making mistakes with shutdowns."", ""When you encounter unit-commitment models, please handle initial commitments carefully. In particular, don’t automatically force all of the generators to startup at period 0, only those that are needed, and think carefully what startup costs should be charged in the initial period (don't forget to charge startup costs, unless it is stated that some generators can start for free). Also, check if shutdowns are allowed, and if there are any constraints or costs associated with them.""), (""When solving unit-commitment models with both variable operating cost based on generated production (e.g., yuan/kWh) and fixed/no-load or maintenance cost that do not depend on the generated production quantity (e.g., yuan/hour), it is easy to make mistakes by mixing units and tying the wrong costs to the wrong variables, or by failing to link on/off decisions to producible output."", ""When you encounter unit-commitment costs with different units, please tie fixed costs that do not depend on production quantities (e.g., yuan/hour) to binary on/off commitment variables, tie variable/operating costs that depend on production quantities (yuan/kWh) to continuous generation variables, and link the binary commitment to feasible production via capacity (big-M) constraints - keep costs consistent with their units, separate fixed and variable decisions, and use linking constraints so the model captures both commitment and output correctly."") ]"
Flow Shop Problem,"[(""When solving flow shop problems, it is easy to make mistakes by confusing it with the job shop problem and assigning the same operation across jobs to different machines, instead of ensuring that the i-th operation of each job is scheduled on the i-th machine."", ""When solving flow shop problems, please ensure that the i-th operation of all jobs is scheduled on the i-th machine, add precedence constraints for the operations of each job, as well as precedence constraints for the jobs on each machine so that there are no overlaps on the same machine."")] "
Farm planning problem,"[(""When solving a farm planning problem, with crops that require multiple units of land, it is easy to make mistakes in the objective by capturing only the per-unit profit, instead of the total profit over the entire crop area."", ""When solving a farm planning problem, think carefully when defining the objective if it should be per unit or total. If a crop has a fixed required area, multiply the per-unit profit by that area; if a plot is fully planted, multiply the per-unit profit by the plot’s area. Always align profit definition with the scale of the decision (per-unit vs whole plot) based on the problem description."")]"
Capacitated Vehicle Routing Problem with Time Windows (CVRPTW),"[(""When you encounter Vehicle Routing Problems and a depot node is not provided, it is easy to make mistakes by taking one of the other nodes to be the depot, instead of introducing a separate node 0 with zero travel costs to the other nodes."", ""When you encounter Vehicle Routing Problems, if a depot node is not provided, introduce a new node 0 to be the depot with 0 travel costs to other nodes.""), (""When you encounter Vehicle Routing Problems, it is easy to make mistakes by allowing travel from a node to itself."", ""When you encounter Vehicle Routing Problems, do not allow going from one node to itself.""), (""When solving Vehicle Routing Problems, it is easy to make mistakes by imposing a constraint on the arrival time at the depot at the end of the route that causes infeasibility"", ""When you encounter Vehicle Routing Problems with Time Windows, unless it is explicitly stated, do not impose the time propagation constraint from any node back to the depot. For example, if 0 is the depot and t[k,0] is the arrival time at the depot for vehicle k and x[k,i,j] is the binary variable denoting if vehicle k goes from node i to j, do not add the time propagation constraint t[k,j] >= t[k,i] + travel[i][j] - M*(1 - x[k,i,j]) for j=0."")]"
Facility Dispersion Problem,"[(""It is easy to ignore values on both directions of the chosen nodes/items."", ""If the problem defines values or distances for both directions of a pair of nodes (e.g., defines a value for the pair (0,1) and also for (1,0)), then you should add up the values in both directions to obtain the total contribution of selecting the nodes in the pair."")] "
